Date_time,P_avg,Db2t_avg,Dst_avg
2013-01-01 14:00:00+00:00,206.23,41.310001,63.080002
2013-01-01 14:10:00+00:00,172.22,41.560001,63.77
2013-01-01 14:20:00+00:00,97.050003,41.84,64.480003
2013-01-01 14:30:00+00:00,151.61,42.240002000000004,64.599998
2013-01-01 14:40:00+00:00,206.37,42.23,64.809998
2013-01-01 14:50:00+00:00,154.0,41.09,63.57
2013-01-01 15:00:00+00:00,254.06,39.0,60.080002
2013-01-01 15:10:00+00:00,202.67999,38.27,57.860001000000004
2013-01-01 15:20:00+00:00,136.31,38.459998999999996,57.970001
2013-01-01 15:30:00+00:00,71.57,38.860001000000004,58.919998
2013-01-01 15:40:00+00:00,68.440002,39.400002,60.27
2013-01-01 15:50:00+00:00,101.03,39.990002000000004,61.650002
2013-01-01 16:00:00+00:00,167.14999,40.549999,62.77
2013-01-01 16:10:00+00:00,194.42,41.049999,63.540001000000004
2013-01-01 16:20:00+00:00,164.52,41.48,64.199997
2013-01-01 16:30:00+00:00,199.24001,41.810001,64.839996
2013-01-01 16:40:00+00:00,252.09,40.73,63.299999
2013-01-01 16:50:00+00:00,215.24001,38.720001,59.57
2013-01-01 17:00:00+00:00,182.27,38.16,57.959998999999996
2013-01-01 17:10:00+00:00,205.86,38.419998,58.27
2013-01-01 17:20:00+00:00,239.03999,38.799999,58.959998999999996
2013-01-01 17:30:00+00:00,191.45,39.200001,59.689999
2013-01-01 17:40:00+00:00,149.62,39.59,60.68
2013-01-01 17:50:00+00:00,172.16,40.060001,61.720001
2013-01-01 18:00:00+00:00,190.74001,40.560001,62.689999
2013-01-01 18:10:00+00:00,262.38,41.009997999999996,63.450001
2013-01-01 18:20:00+00:00,324.07999,41.220001,63.91
2013-01-01 18:30:00+00:00,398.54001,40.419998,63.900002
2013-01-01 18:40:00+00:00,409.22,39.509997999999996,63.509997999999996
2013-01-01 18:50:00+00:00,424.07000999999997,38.75,63.099998
2013-01-01 19:00:00+00:00,510.37,39.029999,63.240002000000004
2013-01-01 19:10:00+00:00,407.14999,39.619999,63.700001
2013-01-01 19:20:00+00:00,403.09,40.189999,64.139999
2013-01-01 19:30:00+00:00,441.78,40.740002000000004,64.779999
2013-01-01 19:40:00+00:00,434.29999000000004,39.959998999999996,63.849998
2013-01-01 19:50:00+00:00,409.89999,37.959998999999996,59.900002
2013-01-01 20:00:00+00:00,290.64001,37.360001000000004,57.860001000000004
2013-01-01 20:10:00+00:00,316.85001,37.689999,58.150002
2013-01-01 20:20:00+00:00,393.01001,38.040001000000004,58.66
2013-01-01 20:30:00+00:00,494.23000999999994,38.43,59.450001
2013-01-01 20:40:00+00:00,580.98999,38.650002,60.509997999999996
2013-01-01 20:50:00+00:00,710.38,38.099998,61.48
2013-01-01 21:00:00+00:00,885.5399800000001,37.720001,62.709998999999996
2013-01-01 21:10:00+00:00,943.2999900000001,37.470001,64.129997
2013-01-01 21:20:00+00:00,810.06,37.27,64.790001
2013-01-01 21:30:00+00:00,814.5499900000001,36.41,62.509997999999996
2013-01-01 21:40:00+00:00,934.2100199999999,35.060001,59.439999
2013-01-01 21:50:00+00:00,1027.52,34.639998999999996,59.490002000000004
2013-01-01 22:00:00+00:00,1067.21,34.66,60.990002000000004
2013-01-01 22:10:00+00:00,1018.41,34.869999,62.099998
2013-01-01 22:20:00+00:00,750.85999,35.25,62.75
2013-01-01 22:30:00+00:00,631.97998,36.380001,62.939999
2013-01-01 22:40:00+00:00,543.56,37.630001,63.619999
2013-01-01 22:50:00+00:00,514.58002,38.68,64.199997
2013-01-01 23:00:00+00:00,513.33002,39.470001,64.800003
2013-01-01 23:10:00+00:00,432.63,38.490002000000004,62.650002
2013-01-01 23:20:00+00:00,421.34,36.959998999999996,58.779999
2013-01-01 23:30:00+00:00,359.82001,37.0,57.73
2013-01-01 23:40:00+00:00,415.32001,37.470001,58.150002
2013-01-01 23:50:00+00:00,398.63,38.0,58.779999
2013-01-02 00:00:00+00:00,405.89999,38.490002000000004,59.52
2013-01-02 00:10:00+00:00,406.82999,38.73,60.209998999999996
2013-01-02 00:20:00+00:00,291.23999,38.060001,60.380001
2013-01-02 00:30:00+00:00,173.67999,37.709998999999996,60.560001
2013-01-02 00:40:00+00:00,132.77,38.150002,61.450001
2013-01-02 00:50:00+00:00,187.24001,38.709998999999996,62.5
2013-01-02 01:00:00+00:00,194.05,39.259997999999996,63.310001
2013-01-02 01:10:00+00:00,253.8,39.709998999999996,63.990002000000004
2013-01-02 01:20:00+00:00,232.61,40.09,64.459999
2013-01-02 01:30:00+00:00,159.89999,40.240002000000004,64.900002
2013-01-02 01:40:00+00:00,56.349998,38.639998999999996,62.759997999999996
2013-01-02 01:50:00+00:00,17.290001,36.490002000000004,59.48
2013-01-02 02:00:00+00:00,68.66999799999999,35.950001,58.040001000000004
2013-01-02 02:10:00+00:00,20.35,36.43,58.630001
2013-01-02 02:20:00+00:00,-0.76999998,37.439999,59.299999
2013-01-02 02:30:00+00:00,-0.050000000999999995,38.0,58.779999
2013-01-02 02:40:00+00:00,-0.050000000999999995,38.029999,58.16
2013-01-02 02:50:00+00:00,-0.050000000999999995,37.799999,57.330002
2013-01-02 03:00:00+00:00,-0.050000000999999995,37.419998,56.490002000000004
2013-01-02 03:10:00+00:00,-0.09000000400000001,36.880001,55.5
2013-01-02 03:20:00+00:00,-0.050000000999999995,36.400002,54.619999
2013-01-02 03:30:00+00:00,-0.67000002,35.91,53.900002
2013-01-02 03:40:00+00:00,-1.01,35.360001000000004,53.16
2013-01-02 03:50:00+00:00,-0.059999999000000005,34.869999,52.41
2013-01-02 04:00:00+00:00,-0.059999999000000005,34.470001,51.77
2013-01-02 04:10:00+00:00,-0.050000000999999995,33.91,51.060001
2013-01-02 04:20:00+00:00,-0.09000000400000001,33.369999,50.220001
2013-01-02 04:30:00+00:00,34.18,32.610001000000004,49.040001000000004
2013-01-02 04:40:00+00:00,68.400002,31.440001000000002,48.709998999999996
2013-01-02 04:50:00+00:00,130.92999,31.5,49.939999
2013-01-02 05:00:00+00:00,112.68,31.870001000000002,51.299999
2013-01-02 05:10:00+00:00,108.84,32.330002,52.490002000000004
2013-01-02 05:20:00+00:00,105.68,32.779999,53.57
2013-01-02 05:30:00+00:00,129.49001,33.349998,54.68
2013-01-02 05:40:00+00:00,110.37,34.009997999999996,55.790001000000004
2013-01-02 05:50:00+00:00,179.52,34.650002,56.73
2013-01-02 06:00:00+00:00,116.44,35.209998999999996,57.549999
2013-01-02 06:10:00+00:00,106.49,35.810001,58.529999
2013-01-02 06:20:00+00:00,68.160004,36.459998999999996,59.66
2013-01-02 06:30:00+00:00,108.84,37.119999,60.779999
